objectid,title,creator,publisher,date,description,label-writer,fair-name,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,purl,object_location,image_small,image_thumb,image_alt_text,object_transcript
test_1,"A Bird's Eye View of the World, for the centennial",Daniel Vierge,,1876,"Daniel Vierge, a notable Spanish illustrator working in Paris, created this centerfold view of a literal “World on Display” (as projected from outer space) as a supplement to the London Daily Graphic, a weekly illustrated newspaper, on the occasion of the opening of the Centennial Exposition in the United States. Published in French, this richly illustrated and handcolored view of the world encompasses geography, natural wonders, cultural diversity, and scientific and archaeological advancements made over thousands of years, including the Mayan and Aztec ruins in Mexico and the pyramids of Giza, Egypt. Also included, representing more recent innovations in travel and transportation are covered wagons and the Union Pacific Railroad in the United States (completed in 1869) and the transatlantic trade lines between New York and France. Vierge also featured 79 illustrations of people from around the world in traditional dress situated along the bottom border. For those who couldn’t travel to Philadelphia to witness America’s first foray into World’s Fairs and Expositions in person, Vierge’s illustrations hinted at the complicated narratives and overwhelming visuals competing for fairgoers’ attention  in each of the Fair’s Buildings and curated exhibits.",Libby Bischoff,"Centennial Exhibition (Philadelphia, 1876)",,Philadelphia,,,Osher Map Library Collection,54164,Map,,,,,iiif,https://oshermaps.org/map/54164.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108270/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108270/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_2,"Map of Centennial grounds and buildings, showing depot and tracks of the Pennsylvania Railroad",Rand McNally and Company,Rand McNally and Co.,1876,,,"Centennial Exhibition (Philadelphia, 1876)",,Philadelphia,,,American Textile History Museum Collection,51005,Map,,,,,iiif,https://oshermaps.org/map/51005.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-115454/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-115454/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_3,"Plan of the City of Philadelphia, 1876 drawn and engraved by W.H. Gamble",W.H. Gamble,Mitchell Map Co.,1876,"This map displays all of Philadelphia and was created to commemorate the 100th anniversary of American Independence and the Centennial Exposition designed to celebrate that anniversary. Philadelphia is color-coded into several sections and numerous street grids and the map highlights Fairmount Park as the site where the Centennial Exposition was held. The map features eight illustrations of the Fair’s key buildings, including: the Main Building, Machinery Hall, Memorial Hall, Horticulture Hall, Agricultural Hall, the U.S. Government Building, the Womens’ Pavilion and Judges Hall. These detailed illustrations showcase the size of these buildings, and reflect the work of Exposition organizers to instill pride and patriotism. Several railroad lines and waterways are highlighted as well. The map functions as both a city plan as well as a commemorative piece for the fair. It also showcases Philadelphia’s role and sense of pride as one of the key cities at the center of American patriotism. Seeing the size of Fairmount Park puts into perspective the large-scale operation that this fair was. The map had both a utilitarian use (as a guide to the city and the exposition) and a sentimental use (as a keepsake or souvenir). ",Brooke Lindsay,"Centennial Exhibition (Philadelphia, 1876)",,Philadelphia,,,Osher Collection,3698,Map,,,,,iiif,https://oshermaps.org/map/3698.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-111271/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-111271/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_4,Centennial Exhibition : with a full description of the great buildings and all the objects of interest in them.,National Publishing Co.,National Publishing Co.,1876,"<p>This poster is an advertisement for a publication about the 1876 Centennial Exhibition. Designed to capture public interest, it promotes a richly illustrated book that serves as a comprehensive guide to the exhibition's buildings, displays, and attractions. Titled with large, festive lettering, the poster promotes the book’s vivid descriptions and detailed images of the great exhibition halls, including the Main Building, Machinery Hall, and Horticultural Hall.</p>
<p>This poster is a prime example of promotional material—it reflects the enthusiasm and optimism of post-Civil War America, and is overly eager to boast its industrial and cultural achievements to the world. It also reveals the troubling commercialization of historical memory at the center of World’s Fairs. Under the seemingly innocent narrative of a nation celebrating a civic milestone, the Centennial Exhibition was intended to be packaged as a consumer spectacle. These materials transformed a temporary public event into a commodified product, designed to be bought, collected, and displayed. In doing so, the publishers exploited patriotic sentiment to profit within a growing marketplace of souvenirs and mass-produced historical narratives. The result was that complex cultural and historical experiences were reduced to items of easy consumption.</p>
<p>Ultimately, this poster is not just a historical artifact of the Centennial, it is a reflection of how commercial interests dominate the shaping of public memory and national identity (in 1876 and today). It reveals the early stages of an intellectual shift in which history and “culture” were increasingly curated, packaged, and sold in ways that prioritized marketability over honest, critical and authentic engagement with peoples, places and objects that were collected and on display.</p>",Grace McLellan,"Centennial Exhibition (Philadelphia, 1876)",,Philadelphia,,,Monkhouse Collection,56442,Poster,,,,,iiif,https://oshermaps.org/map/56442.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-127335/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-127335/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_5,"Souvenir map of the World's Columbian Exposition at Jackson Park and Midway Plaisance, Chicago, Ill., U.S.A., 1893",Hermann Heinze,,1893,"This map was produced as both a guide to the fair and a souvenir from the fair, and features a complete overview of the extensive fairgrounds and the mile-long Midway Plaisance. The Chicago Fair was the first fair to include a separate Midway entertainment area for amusements, and all subsequent fairs followed suit. The Maine State Building is visible on the map, just above the east annex of the Palace of Fine Arts. Ethnological villages, also referred to as “Human Zoos,”were present in both the Midway and around south pond “Ethno-Graphical Exhibit” (located just above the Anthropology building on this map). This map also helps us to understand how visitors traveled to and from the World’s Columbian Exposition, which was mainly by railroad. Fairgoers were also able to experience the world’s first electric elevated railway. The intramural or elevated electric road, operated within the grounds to help visitors navigate the massive Exposition. The system was about six miles in length and the full circuit was made in less than half an hour, which afforded an excellent view of the Exposition. The intramural road cost $1,000,000, and although 6,000,000 passengers rode the electric railway during the fair, it resulted in significant losses.",Molly Bennett,"Columbian Exposition (Chicago, 1893)",,Chicago,,,Osher Map Library Collection,51985,Map,,,,,iiif,https://oshermaps.org/map/51985.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-105537/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-105537/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_6,"Bird's eye view of Chicago, 1893",,Peter Roy,1892,,,"Columbian Exposition (Chicago, 1893)",,Chicago,,,Osher Map Library Collection,52706,Map,,,,,iiif,https://oshermaps.org/map/52706.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-106923/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-106923/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_7,"Bird's eye view of the World's Columbian Exposition, Chicago, 1893",,Rand McNally and Company,1893,"Rand McNally’s large format bird’s-eye view map of the World’s Columbian Exposition provided an expansive aerial perspective of the fairgrounds in Chicago that captured the essence of a transformative era in American history. The view served not only as a practical guide for visitors attempting to navigate the vast exhibition but also as an artistic representation of the fair’s architectural and ideological splendor. Key buildings and pavilions at the fair, which included the Administration Building, Machinery Hall, and the Agricultural Building, are labeled and intricately illustrated. This detailed and intricate illustration work within the map showcased the dedication of fair organizers to emerging American ideals related to industrial progress and agricultural innovation. Various aspects of the fair’s design, such as waterways and lagoons, are highlighted within the map. These water features provided essential transportation routes for visitors and enhanced the overall aesthetic appeal of the grounds as they created a serene environment within the fairgrounds reminiscent of both European and Japanese gardens. Small boats within the lagoons added to the picturesque scene and invited attendees to explore the fair in a leisurely manner. The World’s Columbian Exposition symbolized a nation’s bold ambitions to demonstrate its power and cultural achievements to the world. This fair was more than just a showcase; it was an effort to assert national dominance. This map served as a testament to the vision of its creators, aiming to preserve the spirit of the fair for generations to come.",Estella Sample,"Columbian Exposition (Chicago, 1893)",,Chicago,,,Osher Map Library Collection,53092,Map,,,,,iiif,https://oshermaps.org/map/53092.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-109335/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-109335/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_8,This map and bird's-eye view of the World's Columbian Exposition giving location of principal hotels within walking distance of the grounds is presented with each copy of the Rand-MacNally railway guide.,,Rand McNally and Company,1893,,,"Columbian Exposition (Chicago, 1893)",,Chicago,,,Monkhouse Collection,55886,Map,,,,,iiif,https://oshermaps.org/map/55886.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-117028/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-117028/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_9,World's Fair [...] State Building,"A. T. Thompson & Co., Importers & M'f'rs",Publisher not Identified,1910,,,"Columbian Exposition (Chicago, 1893)",,Chicago,,,Osher Map Library Collection,56993,Photograph,,,,,iiif,https://oshermaps.org/map/56993.0042,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-213467/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-213467/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
test_10,"The Dream city, the World's Columbian Exhibition",,American Fine Art Co.,1893,"This chromolithographic bird's-eye view illustrates the planned layout of the 1893 World’s Columbian Exposition in Chicago and aimed to showcase the Neoclassical and Beaux Art architectural designs of Daniel Burnham’s structures with their white faux-stone facades. In the background, the sprawling city of Chicago is visible, with smoke rising from numerous chimneys—an American symbol of industrial progress and prosperity at the turn-of-the-century. Elegant buildings line the formal avenues of the Exposition, while elaborate waterways flow through exhibition halls and gardens. At night, the scene was illuminated by electric lights, a rare sight in most American cities at the time. The lake is depicted as bustling with sailboats and steamships that transported passengers to and from the exhibition pier. Produced by the American Fine Art Company, this map was printed as a promotional souvenir for the World's Columbian Exposition. It captured the fair's image of order, power, and ambition, while also obscuring the realities of poverty, protest, and exclusion in an American landscape just beyond its borders. More than just a guide, the map reflects the visions that planners had for the future and highlights the complicated narratives of American progress those same planners chose to overlook.",Estella Sample,"Columbian Exposition (Chicago, 1893)",,Chicago,,,Osher Map Library Collection,58013,Map,,,,,iiif,https://oshermaps.org/map/58013.0001,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-136797/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-136797/manifest?canvas_mode=assets&strip_tags=&child_metadata=,,,,
